"","first_author","original_title","average_rating","ratings_count","ratings_1","ratings_5","genres","pages","chick_lit","if_wom","prop_one_star","prop_five_star"
"1946","Meg Cabot","The Boy Next Door (Boy #1)",3.83,54090,1240,16134,"['chick-lit', 'romance', 'fiction', 'contemporary', 'young-adult', 'mystery']",379,"yes","yes",0.0229247550378998,0.298280643372158
"1947","Anonymous","Shūtur eli sharrī",3.63,55856,1551,13343,"['classics', 'poetry', 'fiction', 'fantasy', 'religion']",120,"no","no",0.0277678315668863,0.238882125465483
"1948","Anna Godbersen","The Luxe",3.63,61682,3110,16151,"['historical-fiction', 'young-adult', 'romance', 'fiction', 'chick-lit', 'mystery']",433,"yes","yes",0.0504198955935281,0.261843001199702
"1949","Beatrix Potter","The Complete Tales of Beatrix Potter",4.36,57461,496,32444,"['classics', 'fiction', 'fantasy']",400,"no","no",0.00863194166478133,0.564626442282592
"1950","Philip Roth","American Pastoral",3.91,44766,1278,14992,"['fiction', 'classics', 'historical-fiction', 'contemporary']",432,"no","no",0.0285484519501407,0.334897020059867
"1951","Elizabeth Gilbert","Big Magic: Creative Living Beyond Fear",3.9,72361,3003,26700,"['nonfiction', 'self-help', 'art', 'psychology', 'memoir', 'business']",288,"no","no",0.0415002556625807,0.368983292104863
"1952","Jim Butcher","Skin Game",4.55,52034,91,32765,"['fantasy', 'fiction', 'paranormal', 'mystery']",454,"no","no",0.0017488565168928,0.62968443709882
"1953","Anonymous","القرآن‎‎ [al-Qurʾān]",4.34,43438,2950,31344,"['religion', 'nonfiction', 'classics', 'philosophy', 'spirituality', 'history']",604,"no","no",0.067912887333671,0.721580183249689
"1954","Gena Showalter","The Darkest Night",4.09,65946,1611,29088,"['paranormal', 'romance', 'fantasy', 'fiction']",379,"no","yes",0.024429078336821,0.441088163042489
"1955","Neal Stephenson","Anathem",4.18,49641,1104,23217,"['science-fiction', 'fiction', 'fantasy', 'philosophy']",937,"no","no",0.0222396809089261,0.467698072158095
"1956","Barbara Kingsolver","The Lacuna",3.76,49846,2202,14379,"['fiction', 'historical-fiction', 'art']",508,"no","no",0.0441760622717971,0.288468482927416
"1957","Terry Pratchett","Hogfather",4.22,58833,195,25696,"['fantasy', 'fiction']",432,"no","no",0.00331446637091428,0.4367616813693
"1958","Elizabeth Berg","Open House",3.68,49330,714,10352,"['fiction', 'chick-lit', 'contemporary', 'romance']",272,"yes","yes",0.0144739509426313,0.209852017028178
"1959","Jeannette Walls","The Silver Star",3.68,47890,575,8413,"['fiction', 'historical-fiction', 'young-adult', 'contemporary']",267,"no","no",0.0120066819795364,0.175673418250157
"1960","John Irving","The Hotel New Hampshire",3.89,50470,531,13995,"['fiction', 'contemporary', 'classics']",520,"no","no",0.0105211016445413,0.277293441648504
"1961","Laurell K. Hamilton","The Laughing Corpse",4.11,69306,518,27798,"['paranormal', 'fantasy', 'horror', 'romance', 'fiction', 'mystery']",301,"no","yes",0.00747410036649064,0.401090814648082
"1962","Nora Roberts","Key of Light (Key Trilogy, #1)",4.16,50290,476,22400,"['romance', 'fantasy', 'paranormal', 'fiction', 'contemporary', 'chick-lit', 'mystery']",334,"yes","yes",0.00946510240604494,0.445416583813879
"1963","Ellen Hopkins","Identical",4.34,48870,669,28025,"['young-adult', 'poetry', 'fiction', 'contemporary', 'romance']",565,"no","yes",0.0136893799877225,0.573460200532024
"1964","Janet Evanovich","Smokin' Seventeen",3.94,64640,589,20822,"['mystery', 'fiction', 'chick-lit', 'romance', 'crime']",324,"yes","yes",0.00911200495049505,0.322122524752475
"1965","Dr. Seuss","The Sneetches and Other Stories",4.31,55199,634,30100,"['fiction', 'classics', 'poetry', 'fantasy']",65,"no","no",0.0114857153209297,0.545299733690828
"1966","Hermann Hesse","Demian: Die Geschichte einer Jugend",4.1,49633,580,20149,"['fiction', 'classics', 'philosophy', 'spirituality']",194,"no","no",0.011685773578063,0.405959744524812
"1967","Kurt Vonnegut Jr.","God Bless You, Mr Rosewater or Pearls before Swine",3.94,45412,203,12810,"['fiction', 'classics', 'science-fiction', 'contemporary']",290,"no","no",0.0044701840923104,0.282084030652691
"1968","Yoshiki Nakamura","スキップ・ビート! 1 ",4.26,46850,1449,27076,"['manga', 'romance', 'graphic-novels', 'young-adult', 'comics']",184,"no","yes",0.0309284951974386,0.577929562433298
"1969","Frank Miller","The Dark Knight Returns",4.21,32251,1258,17336,"['comics', 'graphic-novels', 'fiction', 'fantasy']",50,"no","no",0.0390065424327928,0.537533719884655
"1970","J.K. Rowling","Harry Potter Boxed Set Books 1-4",4.66,44842,307,33579,"['fantasy', 'young-adult', 'fiction', 'classics']",1500,"no","no",0.00684626020248874,0.748829222603809
"1971","Paolo Bacigalupi","The Windup Girl",3.74,50059,1859,12835,"['science-fiction', 'fiction', 'fantasy']",359,"no","no",0.0371361793084161,0.256397451007811
"1972","Oscar Wilde","",4.26,49936,318,23649,"['classics', 'fiction']",431,"no","no",0.00636815123357898,0.473586190323614
"1973","Stephanie Perkins","Isla and the Happily Ever After",4.1,76687,1449,32870,"['young-adult', 'romance', 'contemporary', 'chick-lit', 'fiction']",339,"yes","yes",0.0188949887203829,0.428625451510686
"1974","Ilona Andrews","Magic Bites",4.07,75243,1699,30596,"['fantasy', 'paranormal', 'romance', 'fiction']",261,"no","yes",0.0225801735709634,0.406629188097232
"1975","Jodi Ellen Malpas","This Man Confessed",4.43,64568,983,40289,"['romance', 'contemporary', 'fiction']",501,"no","yes",0.0152242596952051,0.623977821831248
"1976","Irène Némirovsky","Suite française ",3.82,49969,1143,13670,"['fiction', 'historical-fiction', 'classics']",431,"no","no",0.0228741819928356,0.273569613160159
"1977","Vincent van Gogh","The Letters of Vincent van Gogh",3.99,48368,2279,20987,"['art', 'nonfiction', 'biography', 'history', 'classics', 'memoir', 'philosophy']",528,"no","no",0.0471179292093946,0.433902580218326
"1978","Terry Pratchett","Sourcery",3.87,59718,274,15680,"['fantasy', 'fiction', 'science-fiction']",276,"no","no",0.00458823135403061,0.262567400113869
"1979","Malley""]","Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",4.24,49642,777,23576,"['graphic-novels', 'comics', 'fiction', 'young-adult', 'manga', 'fantasy', 'romance']",200,"no","yes",0.0156520688126989,0.474920430280811
"1980","Grant Morrison","Batman: Arkham Asylum - A Serious House on Serious Earth",4.09,48028,944,20800,"['comics', 'graphic-novels', 'fiction', 'horror', 'fantasy']",216,"no","no",0.0196552011326726,0.433080702923295
"1981","Jenny Han","P.S. I Still Love You",4.17,67887,616,28495,"['young-adult', 'romance', 'contemporary', 'fiction', 'chick-lit']",337,"yes","yes",0.00907390221986536,0.419741629472506
"1982","David Baldacci","Memory Man",4.05,56432,1182,20244,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']",416,"no","no",0.0209455628012475,0.358732633966544
"1983","Hillary Jordan","Mudbound",3.99,47971,496,14150,"['historical-fiction', 'fiction']",328,"no","no",0.0103395801630152,0.294969877634404
"1984","Mark Bowden","Black Hawk Down",4.28,43749,284,20345,"['history', 'nonfiction']",386,"no","no",0.00649157695033029,0.46503920089602
"1985","V.E. Schwab","A Darker Shade of Magic",4.07,73529,928,25997,"['fantasy', 'young-adult', 'fiction', 'historical-fiction']",400,"no","no",0.0126208706768758,0.353561179942608
"1986","David Grann","The Lost City of Z: A Tale of Deadly Obsession in the Amazon",3.86,50927,807,13524,"['nonfiction', 'history', 'travel', 'biography', 'mystery', 'science']",339,"no","no",0.0158462112435447,0.265556580988474
"1987","Brandon Sanderson","Firefight",4.29,50765,95,22621,"['fantasy', 'young-adult', 'science-fiction', 'fiction']",416,"no","no",0.00187136806855117,0.445602285038905
"1988","Trudi Canavan","The Magicians' Guild",3.96,56039,971,18739,"['fantasy', 'young-adult', 'fiction', 'romance']",467,"no","yes",0.0173272185442281,0.334392119773729
"1989","Michael Scott","The Necromancer: The Secrets of The Immortal Nicholas Flamel",4.12,50653,583,20937,"['fantasy', 'young-adult', 'fiction']",416,"no","no",0.0115096835330583,0.413341756658046
"1990","Lee Child","61 Hours",4.08,51841,325,17880,"['thriller', 'fiction', 'mystery', 'crime', 'suspense']",383,"no","no",0.00626916919040914,0.344900754229278
"1991","Patricia McCormick","Cut",3.76,49106,1493,15351,"['young-adult', 'fiction', 'contemporary', 'psychology']",151,"no","no",0.0304036166659879,0.31260945709282
"1992","Roald Dahl","George's Marvellous Medicine",4.02,57553,603,21422,"['fiction', 'fantasy', 'classics', 'young-adult']",120,"no","no",0.010477299185099,0.372213438048408
"1993","Jane Smiley","A Thousand Acres",3.79,49509,1265,13087,"['fiction', 'contemporary', 'classics']",371,"no","no",0.0255509099355673,0.264335777333414
"1994","Lloyd Alexander","The Book of Three",4,59286,1074,20720,"['fantasy', 'young-adult', 'fiction', 'classics']",190,"no","no",0.0181155753466248,0.349492291603414
"1995","Patricia Briggs","Cry Wolf",4.11,71087,975,29937,"['fantasy', 'paranormal', 'romance', 'fiction']",294,"no","yes",0.0137155879415364,0.421131852518745
"1996","Ian Falconer","Olivia",4.13,51695,1301,24622,"['fiction', 'fantasy', 'classics', 'art']",40,"no","no",0.0251668439887803,0.476293645420253
"1997","Kent Haruf","Plainsong",4,47942,594,15965,"['fiction', 'contemporary']",301,"no","no",0.0123899712152184,0.333006549580743
"1998","Daniel Clowes","Ghost World",3.87,50916,1586,16561,"['comics', 'graphic-novels', 'fiction', 'young-adult', 'contemporary']",80,"no","no",0.0311493440175976,0.325261214549454
"1999","Amanda Hocking","Torn",4.04,59016,713,22279,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']",324,"no","yes",0.0120814694320184,0.377507794496408
"2000","Ivan Turgenev","Отцы и дѣти",3.94,49363,543,15437,"['classics', 'fiction', 'historical-fiction', 'philosophy']",244,"no","no",0.0110001418066163,0.312724105098961
"2001","Eliyahu M. Goldratt","The Goal",4,38003,970,14464,"['business', 'nonfiction', 'self-help']",384,"no","no",0.0255243007131016,0.380601531458043
"2002","Geraldine Brooks","Caleb's Crossing",3.81,50909,854,11778,"['historical-fiction', 'fiction', 'religion']",306,"no","no",0.0167750299554106,0.231353984560687
"2003","Claudia Gray","Evernight",3.64,67136,3402,19064,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']",327,"no","yes",0.0506732602478551,0.283960915157293
"2004","Lee Child","Bad Luck and Trouble",4.17,50323,202,19306,"['thriller', 'fiction', 'mystery', 'crime', 'suspense']",378,"no","no",0.00401406911352662,0.383641674780915
"2005","Karen Joy Fowler","The Jane Austen Book Club",3.07,56833,4240,5656,"['fiction', 'chick-lit', 'romance', 'contemporary']",288,"yes","yes",0.0746045431351504,0.0995196452765119
"2006","Ian McEwan","The Children Act",3.68,43775,952,8214,"['fiction', 'contemporary', 'religion']",221,"no","no",0.021747572815534,0.187641347801256
"2007","Janet Evanovich","Sizzling Sixteen",3.93,63664,585,20552,"['mystery', 'fiction', 'chick-lit', 'romance', 'crime', 'contemporary']",371,"yes","yes",0.00918886654938427,0.322819803970847
"2008","James S.A. Corey","Caliban's War",4.28,49441,105,20681,"['science-fiction', 'fiction', 'fantasy']",595,"no","no",0.00212374345179102,0.418296555490382
"2009","Rebecca Donovan","Barely Breathing",4.33,61085,662,32698,"['romance', 'young-adult', 'contemporary', 'fiction']",385,"no","yes",0.0108373577801424,0.535286895309814
"2010","Homer","Ἰλιάς ; Ὀδύσσεια",4.03,51098,916,19731,"['classics', 'fiction', 'poetry', 'fantasy', 'historical-fiction']",1556,"no","no",0.0179263376257388,0.386140357743943
"2011","Mark Waid","Kingdom Come",4.24,45308,926,23141,"['comics', 'graphic-novels', 'fiction', 'fantasy']",231,"no","no",0.0204378917630441,0.510748653659398
"2012","Henri Charrière","Papillon ",4.23,43357,349,19697,"['nonfiction', 'biography', 'classics', 'memoir', 'history', 'crime']",544,"no","no",0.00804944991581521,0.454298037225823
"2013","Sarah Waters","Tipping the Velvet",4,45239,1259,17101,"['historical-fiction', 'fiction', 'romance']",472,"no","yes",0.0278299697163951,0.378014544972258
"2014","Chris Colfer","The Wishing Spell (The Land of Stories, #1)",4.21,55183,1615,29129,"['fantasy', 'fiction', 'young-adult']",438,"no","no",0.0292662595364514,0.52786184150916
"2015","David Ebershoff","The 19th Wife",3.63,50034,1014,8235,"['historical-fiction', 'fiction', 'mystery']",514,"no","no",0.0202662189710997,0.164588080105528
"2016","Walter Dean Myers","Monster",3.7,48399,1485,12381,"['young-adult', 'fiction', 'crime', 'contemporary', 'mystery']",281,"no","no",0.0306824521167793,0.255811070476663
"2017","George R.R. Martin","",4.63,39174,219,28118,"['fantasy', 'fiction', 'science-fiction']",4081,"no","no",0.00559044264052688,0.7177719916271
"2018","Patricia Cornwell","Body of Evidence ",4,53652,217,16231,"['mystery', 'crime', 'fiction', 'thriller', 'suspense']",403,"no","no",0.00404458361291285,0.302523671065384
"2019","Sara Shepard","Perfect",4.02,55030,638,20985,"['young-adult', 'mystery', 'contemporary', 'fiction', 'chick-lit', 'romance', 'thriller']",298,"yes","yes",0.0115936761766309,0.381337452298746
"2020","Jessica Sorensen","The Secret of Ella and Micha",4.01,65527,1248,24206,"['romance', 'contemporary', 'young-adult', 'chick-lit', 'fiction', 'music']",313,"yes","yes",0.0190455842629756,0.36940497810063
"2021","Kevin Hearne","Hounded",4.12,57275,850,22929,"['fantasy', 'paranormal', 'fiction']",304,"no","no",0.0148406809253601,0.400331732867743
"2022","Stephen King","From a Buick 8",3.42,50079,2180,9113,"['horror', 'fiction', 'fantasy', 'thriller', 'science-fiction', 'mystery', 'paranormal']",356,"no","no",0.0435312206713393,0.181972483476108
"2023","Kim Stanley Robinson","Red Mars",3.84,49784,1447,15534,"['science-fiction', 'fiction', 'fantasy']",572,"no","no",0.0290655632331673,0.312027960790615
"2024","Charlotte Perkins Gilman","The Yellow Wall-paper. A story",4.11,55593,753,22693,"['classics', 'fiction', 'horror']",64,"no","no",0.0135448707571097,0.408198873958952
"2025","Nora Roberts","Sea Swept",4.24,50100,379,23604,"['romance', 'contemporary', 'fiction', 'chick-lit', 'mystery']",330,"yes","yes",0.00756487025948104,0.471137724550898
"2026","Brent Weeks","The Blinding Knife",4.45,47269,135,26488,"['fantasy', 'fiction']",671,"no","no",0.00285599441494426,0.560367259726248
"2027","Morgan Matson","Since You've Been Gone",4.19,64449,888,28858,"['contemporary', 'young-adult', 'romance', 'fiction', 'chick-lit', 'mystery']",449,"yes","yes",0.0137783363589815,0.447764899377803
"2028","Steve Martin","",3.58,43765,2252,10617,"['fiction', 'art', 'contemporary']",304,"no","no",0.051456643436536,0.242591111618874
"2029","John Flanagan","The Icebound Land",4.22,52595,462,24172,"['fantasy', 'young-adult', 'fiction']",266,"no","no",0.0087841049529423,0.45958741325221
"2030","Marian Keyes","Anybody Out There?",3.91,47676,1024,15358,"['chick-lit', 'fiction', 'romance', 'contemporary']",464,"yes","yes",0.0214783119389211,0.32213272925581
"2031","Peter Thiel","Zero to One: Notes on Start Ups, or How to Build the Future",4.17,54697,1018,24044,"['business', 'nonfiction', 'self-help']",195,"no","no",0.0186116240378814,0.439585352030276
"2032","Sarah J. Maas","Empire of Storms",4.58,74241,717,52281,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']",689,"no","yes",0.00965773629126763,0.704206570493393
"2033","Charles Dickens","",4.11,48945,719,20963,"['classics', 'fiction', 'fantasy', 'historical-fiction']",304,"no","no",0.0146899581162529,0.428297068137706
"2034","Gillian Flynn","What Do You Do?",3.54,54592,1609,9310,"['fiction', 'horror', 'thriller', 'mystery', 'suspense']",64,"no","no",0.029473182883939,0.170537807737397
"2035","Neil Gaiman","Smoke and Mirrors: Short Fiction and Illusions",4.05,52735,246,17579,"['fantasy', 'fiction', 'horror', 'science-fiction', 'poetry']",365,"no","no",0.00466483360197213,0.333345975158813
"2036","Kurt Vonnegut Jr.","Welcome to the Monkey House",4.13,42825,153,16119,"['fiction', 'science-fiction', 'classics']",331,"no","no",0.00357267950963222,0.376392294220666
"2037","David McCullough","Truman",4.15,54704,1869,25817,"['biography', 'history', 'nonfiction']",1120,"no","no",0.0341656917227259,0.471939894706054
"2038","Ron Chernow","Alexander Hamilton",4.26,51554,1034,25620,"['history', 'biography', 'nonfiction']",818,"no","no",0.0200566396399891,0.496954649493735
"2039","Dr. Seuss","The Cat in the Hat and Other Dr. Seuss Favorites",4.41,46312,345,28155,"['classics', 'fiction', 'poetry', 'fantasy']",61,"no","no",0.00744947313871135,0.607941786146139
"2040","Nikolai Gogol","Мёртвые ду́ши",3.98,47662,800,17000,"['classics', 'fiction', 'historical-fiction']",464,"no","no",0.0167848600562293,0.356678276194872
"2041","Elle Kennedy","The Deal",4.3,79406,1149,40227,"['romance', 'contemporary', 'sports']",342,"no","yes",0.0144699392992973,0.50659899755686
"2042","Kiera Cass","The Crown",3.8,72531,1953,22693,"['young-adult', 'romance', 'fantasy', 'fiction', 'science-fiction', 'chick-lit']",278,"yes","yes",0.0269264176696861,0.312873116322676
"2043","Arlene Mosel","Tikki Tikki Tembo",4.21,53161,856,26574,"['fiction', 'classics']",48,"no","no",0.0161020296834145,0.499877729914787
"2044","L.J. Smith","Night World, No. 1",4.04,56461,1380,24803,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']",729,"no","yes",0.0244416499884876,0.439294380191637
"2045","Tina Reber","Love Unscripted (Love, #1)",4.04,62368,2247,26708,"['romance', 'contemporary', 'chick-lit', 'fiction', 'young-adult']",668,"yes","yes",0.0360280913288866,0.428232426885582
"2046","James Patterson","Pop Goes the Weasel",3.98,49447,270,15063,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']",461,"no","no",0.00546039193479888,0.30462919894028
"2047","Penelope Douglas","Bully",4.15,72517,1570,32692,"['romance', 'contemporary', 'young-adult', 'fiction', 'chick-lit']",333,"yes","yes",0.0216500958395962,0.450818428782217
"2048","Alison Weir","The Six Wives of Henry VIII",4.1,49615,858,19402,"['history', 'nonfiction', 'biography']",643,"no","no",0.017293157311297,0.391051093419329
"2049","Yevgeny Zamyatin","Мы",3.95,47979,732,15957,"['fiction', 'science-fiction', 'classics']",255,"no","no",0.0152566747952229,0.332583005064716
"2050","Barbara Kingsolver","Pigs in Heaven",3.97,47478,298,13533,"['fiction', 'contemporary']",343,"no","no",0.00627659126332196,0.285037280424618
"2051","John Scalzi","The Ghost Brigades",4.09,47619,141,14724,"['science-fiction', 'fiction']",347,"no","no",0.00296100296100296,0.309204309204309
"2052","Alan Paton","Cry, The Beloved Country",3.87,53681,1524,17356,"['fiction', 'classics', 'historical-fiction']",316,"no","no",0.0283899331234515,0.323317374862614
"2053","Brian Froud","Faeries",3.89,38793,2564,16125,"['fantasy', 'art', 'fiction']",200,"no","no",0.0660943984739515,0.415667775114067
"2054","Gregory Maguire","Confessions of an Ugly Stepsister",3.51,52251,1560,8825,"['fantasy', 'historical-fiction', 'fiction', 'young-adult']",372,"no","no",0.0298558879255899,0.168896289066238
"2055","Nick Hornby","How to Be Good",3.18,44660,2082,4144,"['fiction', 'contemporary']",305,"no","no",0.0466188983430363,0.0927899686520376
"2056","Cassandra Clare","Lady Midnight",4.47,93259,1511,59574,"['fantasy', 'young-adult', 'romance', 'paranormal', 'fiction']",698,"no","yes",0.0162021896010037,0.638801617002112
"2057","Cornelia Funke","Tintentod",3.93,59638,1518,21737,"['fantasy', 'young-adult', 'fiction']",699,"no","no",0.0254535698715584,0.364482377007948
"2058","Isaac Asimov","Foundation's Edge",4.08,51866,244,18497,"['science-fiction', 'fiction', 'classics', 'fantasy']",450,"no","no",0.00470443064820885,0.356630547950488
"2059","Thomas Hardy","Jude the Obscure",3.8,50290,2197,15912,"['classics', 'fiction', 'historical-fiction']",310,"no","no",0.0436866176178167,0.316404851859217
"2060","David Eddings","Queen of Sorcery",4.13,52912,337,21227,"['fantasy', 'fiction', 'young-adult']",326,"no","no",0.00636906561838524,0.401175536740248
"2061","Shirley Jackson","The Lottery: Adventures of the Demon Lover",4.06,51501,666,19506,"['fiction', 'horror', 'classics']",302,"no","no",0.012931787732277,0.37874992718588
"2062","Margaret Peterson Haddix","",3.99,48918,2194,21736,"['mystery', 'young-adult', 'fiction', 'fantasy']",327,"no","no",0.0448505662537307,0.444335418455374
"2063","Aprilynne Pike","Wings ",3.75,66249,2881,20936,"['fantasy', 'young-adult', 'romance', 'paranormal', 'fiction']",290,"no","yes",0.0434874488671527,0.316019864450784
"2064","Cecily von Ziegesar","Gossip Girl",3.51,51967,3166,13370,"['young-adult', 'chick-lit', 'fiction', 'contemporary', 'romance']",224,"yes","yes",0.060923278234264,0.257278657609637
"2065","Frederick Forsyth","The Odessa File",4.1,44032,167,15556,"['fiction', 'thriller', 'historical-fiction', 'mystery', 'suspense', 'crime']",334,"no","no",0.00379269622093023,0.35328851744186
"2066","Elizabeth Strout","The Burgess Boys",3.54,45050,1323,7181,"['fiction', 'contemporary']",320,"no","no",0.0293673695893452,0.159400665926748
"2067","Yuval Noah Harari","קיצור תולדות האנושות‎‎",4.41,71074,996,42012,"['nonfiction', 'history', 'science', 'philosophy', 'psychology']",498,"no","no",0.014013563328362,0.591102231477052
"2068","M. Leighton","Down to You",4.05,62467,1078,23974,"['romance', 'contemporary', 'chick-lit', 'fiction']",215,"yes","yes",0.0172571117550066,0.383786639345574
"2069","William Shakespeare","The Complete Works",4.49,46010,448,29680,"['classics', 'poetry', 'fiction', 'historical-fiction']",1248,"no","no",0.0097370136926755,0.645077157139752
"2070","Ursula K. Le Guin","The Dispossessed",4.18,53246,720,24056,"['science-fiction', 'fiction', 'fantasy', 'classics', 'philosophy']",387,"no","no",0.0135221425083574,0.451789805807009
"2071","Henning Mankell","Mördare utan ansikte",3.78,49558,1030,11685,"['mystery', 'crime', 'fiction', 'thriller']",280,"no","no",0.0207837281569071,0.235784333508213
"2072","John Grisham","The Confession",3.81,49934,676,11987,"['fiction', 'mystery', 'thriller', 'crime', 'suspense']",418,"no","no",0.0135378699883847,0.240056875075099
"2073","Dean Koontz","Lightning",4.06,47213,421,17760,"['horror', 'fiction', 'thriller', 'science-fiction', 'suspense', 'mystery', 'fantasy', 'paranormal']",384,"no","no",0.00891703556223921,0.37616758096287
"2074","James Patterson","Cat & Mouse",3.96,50283,309,14960,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']",416,"no","no",0.00614521806574787,0.297516059105463
"2075","Judy Blume","Superfudge",3.98,53118,645,18620,"['fiction', 'young-adult', 'classics']",192,"no","no",0.0121427764599571,0.350540306487443
"2076","Shari Lapena","The Couple Next Door",3.74,81542,1833,19707,"['mystery', 'thriller', 'fiction', 'suspense', 'crime', 'contemporary']",308,"no","no",0.0224792131662211,0.241679134679061
"2077","Cynthia Hand","Hallowed",4.15,61307,1021,27008,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']",403,"no","yes",0.0166538894416625,0.440536969677198
"2078","Ann Leckie","Ancillary Justice",3.97,47806,1165,15946,"['science-fiction', 'fiction', 'fantasy']",416,"no","no",0.0243693260260218,0.33355645734845
"2079","Terry Goodkind","The Pillars of Creation",3.67,45832,2183,13737,"['fantasy', 'fiction', 'romance']",725,"no","yes",0.0476304765229534,0.299725082911503
"2080","Allen Eskens","The Life We Bury",3.93,47968,503,12932,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']",303,"no","no",0.0104861574382922,0.269596397598399
"2081","Eric Wilson","Fireproof",4.47,37588,339,23633,"['christian', 'fiction', 'romance', 'spirituality', 'contemporary']",284,"no","yes",0.00901883579865915,0.628737895072896
"2082","Jack Higgins","The Eagle Has Landed",4.15,43019,205,16708,"['fiction', 'thriller', 'historical-fiction', 'mystery']",352,"no","no",0.00476533624677468,0.38838652688347
"2083","Laurell K. Hamilton","The Lunatic Cafe",4.12,63568,433,25728,"['paranormal', 'fantasy', 'romance', 'horror', 'fiction']",352,"no","yes",0.00681160332242638,0.404731940599044
"2084","David Wong","John Dies at the End",3.92,45084,1532,16061,"['horror', 'fiction', 'fantasy', 'science-fiction', 'paranormal']",362,"no","no",0.0339810132197675,0.356246118356845
"2085","Carl Sagan","The Demon-Haunted World: Science as a Candle in the Dark",4.27,43024,886,22401,"['science', 'nonfiction', 'philosophy', 'religion', 'history', 'psychology']",459,"no","no",0.0205931573075493,0.520662885831164
"2086","Lucy Christopher","Stolen: A Letter to My Captor",3.93,57261,1626,21129,"['young-adult', 'contemporary', 'fiction', 'romance', 'thriller', 'mystery']",304,"no","yes",0.0283962906690418,0.368994603656939
"2087","Stanisław Lem","Solaris",3.97,49241,953,17590,"['science-fiction', 'fiction', 'classics', 'philosophy', 'fantasy']",204,"no","no",0.0193537905404033,0.357222639670194
"2088","Elizabeth Wurtzel","Prozac Nation",3.57,46771,1978,11104,"['nonfiction', 'memoir', 'psychology', 'biography']",368,"no","no",0.0422911633277031,0.237412071582818
"2089","Lloyd Alexander","The Black Cauldron",4.13,51195,538,20605,"['fantasy', 'young-adult', 'fiction', 'classics']",182,"no","no",0.0105088387537845,0.402480711006934
"2090","Daniel J. Levitin","This Is Your Brain on Music: The Science of a Human Obsession",3.86,39436,1771,14233,"['music', 'nonfiction', 'science', 'psychology', 'art', 'philosophy']",314,"no","no",0.0449082057003753,0.360913885789634
"2091","Mitch Albom","The First Phone Call from Heaven",3.73,43318,1318,11652,"['fiction', 'contemporary', 'mystery', 'christian', 'spirituality', 'religion']",323,"no","no",0.0304261507918186,0.268987487880327
"2092","Augusten Burroughs","Possible Side Effects",3.97,39653,411,12728,"['memoir', 'nonfiction', 'biography']",291,"no","no",0.0103649156432048,0.32098454089224
"2093","Anna Quindlen","Still Life with Bread Crumbs",3.63,41321,1778,8256,"['fiction', 'romance', 'contemporary', 'chick-lit']",252,"yes","yes",0.0430289683211926,0.199801553689407
"2094","Agatha Christie","The ABC Murders",3.97,57370,250,17448,"['mystery', 'fiction', 'crime', 'classics', 'thriller']",232,"no","no",0.00435767822903957,0.30413107896113
"2095","Anonymous","Holy Bible: New International Version",4.61,45994,1637,37471,"['religion', 'christian', 'nonfiction', 'classics', 'spirituality', 'history', 'philosophy']",1248,"no","no",0.0355915989042049,0.814693220854894
"2096","J.R. Ward","Lover Reborn",4.35,64189,457,35062,"['paranormal', 'romance', 'fantasy', 'fiction']",572,"no","yes",0.00711959993145243,0.546230662574584
"2097","Julia Quinn","The Duke and I",4.11,61923,985,25041,"['romance', 'historical-fiction', 'fiction', 'chick-lit']",384,"yes","yes",0.0159068520582013,0.404389322222761
"2098","Margaret Weis","Dragons of Spring Dawning",4.12,44116,412,18106,"['fantasy', 'fiction', 'young-adult']",352,"no","no",0.00933901532323873,0.410417988938254
"2099","Lorraine Hansberry","A Raisin in the Sun",3.72,50909,1278,12603,"['classics', 'fiction', 'historical-fiction']",162,"no","no",0.0251036162564576,0.247559370641733
"2100","Tom Clancy","The Sum of All Fears",3.99,46810,301,14783,"['fiction', 'thriller', 'suspense', 'mystery']",928,"no","no",0.00643024994659261,0.315808587908567
"2101","Brian K. Vaughan","Saga, Volume Two",4.57,58127,142,37155,"['comics', 'science-fiction', 'fiction', 'romance', 'graphic-novels']",160,"no","yes",0.00244292669499544,0.639203812341941
"2102","Lee Child","The Enemy",4.15,51036,258,19105,"['thriller', 'fiction', 'mystery', 'crime', 'suspense']",464,"no","no",0.00505525511403715,0.374343600595658
"2103","Jean-Dominique Bauby","Le Scaphandre et le Papillon",4.01,45508,572,15911,"['nonfiction', 'memoir', 'biography', 'classics']",132,"no","no",0.0125692185989277,0.349630834139052
"2104","Reilly""","Killing Kennedy: The End of Camelot",4.05,40216,888,14442,"['history', 'nonfiction', 'biography']",325,"no","no",0.0220807638750746,0.359110801670977
